regular,midgrade,premium,diesel,last_update,reg_price_age,mid_price_age,pre_price_age,des_price_age,location_id
2.33,2.47,2.57,0.0,2016-09-15 20:09:44.000000,0.0,0.0,48.0,0.0,1129
2.23,0.0,2.49,0.0,2016-09-15 20:09:04.000000,0.0,0.0,192.0,0.0,1174
2.23,0.0,2.49,0.0,2016-09-15 20:09:32.000000,24.0,0.0,24.0,0.0,1198
2.29,2.41,2.53,0.0,2016-09-15 20:09:38.000000,2.0,2.0,2.0,0.0,1151
2.33,2.45,2.57,2.93,2016-09-15 20:09:34.000000,1.0,3.0,3.0,3.0,1128
2.39,2.45,2.57,2.81,2016-09-15 08:09:13.000000,72.0,3.0,3.0,48.0,1225
2.38,2.55,2.65,2.89,2016-09-15 08:09:46.000000,3.0,3.0,3.0,3.0,1227
2.39,2.49,2.73,0.0,2016-09-15 19:09:27.000000,5.0,5.0,5.0,0.0,1101
2.38,2.55,2.75,2.49,2016-09-15 08:09:07.000000,5.0,5.0,5.0,5.0,1229
2.47,0.0,0.0,0.0,2016-09-09 19:09:28.000000,4.0,0.0,0.0,0.0,1184
2.23,0.0,2.45,0.0,2016-09-09 19:09:40.000000,0.0,0.0,0.0,0.0,1198
2.27,2.39,2.51,0.0,2016-09-09 19:09:11.000000,1.0,1.0,1.0,0.0,1151
2.19,0.0,2.45,0.0,2016-09-09 19:09:01.000000,3.0,0.0,3.0,0.0,1174
2.33,2.49,2.73,0.0,2016-09-09 19:09:49.000000,4.0,6.0,6.0,0.0,1101
2.29,2.43,2.53,0.0,2016-09-09 19:09:27.000000,6.0,6.0,6.0,0.0,1129
2.37,2.47,2.67,0.0,2016-09-09 08:09:47.000000,24.0,24.0,24.0,0.0,1228
2.33,2.45,2.53,2.93,2016-09-09 19:09:20.000000,0.0,0.0,96.0,4.0,1128
2.45,2.61,0.0,2.49,2016-09-09 08:09:55.000000,8.0,8.0,0.0,8.0,1229
2.34,2.51,2.64,2.89,2016-09-09 08:09:39.000000,8.0,8.0,8.0,8.0,1227
2.33,2.45,2.57,2.81,2016-09-09 08:09:09.000000,9.0,9.0,9.0,9.0,1225
2.35,2.49,2.59,0.0,2016-09-18 20:09:57.000000,0.0,0.0,192.0,0.0,1129
2.21,0.0,2.49,0.0,2016-09-18 20:09:42.000000,0.0,0.0,216.0,0.0,1174
2.21,0.0,2.49,0.0,2016-09-18 20:09:44.000000,24.0,0.0,0.0,0.0,1198
2.39,0.0,0.0,0.0,2016-09-18 08:09:12.000000,3.0,0.0,0.0,0.0,1228
2.39,2.49,2.79,0.0,2016-09-18 19:09:50.000000,1.0,1.0,1.0,0.0,1101
2.29,2.41,2.53,0.0,2016-09-18 20:09:29.000000,7.0,7.0,7.0,0.0,1151
2.33,2.45,2.57,2.81,2016-09-18 08:09:26.000000,3.0,3.0,9.0,3.0,1225
2.38,2.55,2.89,2.89,2016-09-18 08:09:00.000000,3.0,3.0,3.0,3.0,1227
2.48,2.65,2.75,2.49,2016-09-18 08:09:15.000000,4.0,4.0,4.0,4.0,1229
2.33,2.45,2.57,2.93,2016-09-18 20:09:34.000000,0.0,0.0,192.0,8.0,1128
2.49,0.0,2.72,2.59,2016-09-18 20:09:16.000000,24.0,0.0,5.0,24.0,1184
2.33,2.49,2.57,0.0,2016-09-26 20:09:16.000000,0.0,0.0,24.0,0.0,1151
2.21,0.0,2.49,0.0,2016-09-26 20:09:25.000000,0.0,0.0,3.0,0.0,1174
